category,profile,count,total_length_m,total_mass_kg
WASHER_R_01_a,Plate washers,plate-10,0.0,0.5
WASHER_R_01_b,Plate washers,plate-10,0.0,0.5
WASHER_R_02_a,Plate washers,plate-10,0.0,0.5
WASHER_R_02_b,Plate washers,plate-10,0.0,0.5
WASHER_R_03_a,Plate washers,plate-10,0.0,0.5
WASHER_R_03_b,Plate washers,plate-10,0.0,0.5
WASHER_R_04_a,Plate washers,plate-10,0.0,0.5
WASHER_R_04_b,Plate washers,plate-10,0.0,0.5
WASHER_R_05_a,Plate washers,plate-10,0.0,0.5
WASHER_R_05_b,Plate washers,plate-10,0.0,0.5
