categoria,perfil,quantidade,comprimento_total_m,massa_kg
CONEX_GUSSET_PAR_E_02_15_T,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_PAR_E_02_20_B,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_PAR_E_02_20_T,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_JOELHO_01_D_CHAPA,Chapa de topo (joelho),chapa-22,0.0,9.5
CONEX_JOELHO_01_D_ENRIJ_INF,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_01_D_ENRIJ_SUP,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_01_D_M24_01,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_01_D_M24_02,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_01_D_M24_03,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_01_D_M24_04,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_01_D_MISULA,Misulas (joelho),chapa-9.5,0.0,254.34
CONEX_JOELHO_01_E_CHAPA,Chapa de topo (joelho),chapa-22,0.0,9.5
CONEX_JOELHO_01_E_ENRIJ_INF,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_01_E_ENRIJ_SUP,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_01_E_M24_01,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_01_E_M24_02,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_01_E_M24_03,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_01_E_M24_04,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_01_E_MISULA,Misulas (joelho),chapa-9.5,0.0,254.34
CONEX_JOELHO_02_D_CHAPA,Chapa de topo (joelho),chapa-22,0.0,9.5
CONEX_JOELHO_02_D_ENRIJ_INF,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_02_D_ENRIJ_SUP,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_02_D_M24_01,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_02_D_M24_02,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_02_D_M24_03,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_02_D_M24_04,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_02_D_MISULA,Misulas (joelho),chapa-9.5,0.0,254.34
CONEX_JOELHO_02_E_CHAPA,Chapa de topo (joelho),chapa-22,0.0,9.5
CONEX_JOELHO_02_E_ENRIJ_INF,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_02_E_ENRIJ_SUP,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_02_E_M24_01,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_02_E_M24_02,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_02_E_M24_03,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_02_E_M24_04,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_02_E_MISULA,Misulas (joelho),chapa-9.5,0.0,254.34
CONEX_JOELHO_03_D_CHAPA,Chapa de topo (joelho),chapa-22,0.0,9.5
CONEX_JOELHO_03_D_ENRIJ_INF,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_03_D_ENRIJ_SUP,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_03_D_M24_01,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_03_D_M24_02,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_03_D_M24_03,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_03_D_M24_04,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_03_D_MISULA,Misulas (joelho),chapa-9.5,0.0,254.34
CONEX_JOELHO_03_E_CHAPA,Chapa de topo (joelho),chapa-22,0.0,9.5
CONEX_JOELHO_03_E_ENRIJ_INF,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_03_E_ENRIJ_SUP,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_03_E_M24_01,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_03_E_M24_02,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_03_E_M24_03,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_03_E_M24_04,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_03_E_MISULA,Misulas (joelho),chapa-9.5,0.0,254.34
CONEX_JOELHO_04_D_CHAPA,Chapa de topo (joelho),chapa-22,0.0,9.5
CONEX_JOELHO_04_D_ENRIJ_INF,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_04_D_ENRIJ_SUP,Enrijecedores (joelho),chapa-12,0.0,3.58
CONEX_JOELHO_04_D_M24_01,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_04_D_M24_02,Parafusos M24 (joelho),M24,120.0,0.43
CONEX_JOELHO_04_D_M24_03,Parafusos M24 (joelho),M24,120.0,0.43
